group,predictor,OR,ci_lo,ci_hi,p,coef,n
supplement/mitochondrial,pem,0.9569377448417371,0.5338575890225116,1.7153073522462847,0.8824814359807102,-0.044016942057160675,407
supplement/mitochondrial,nfields_z,1.0344173844417617,0.802930862500465,1.3326419187613627,0.7934711786758598,0.03383835463916039,407
supplement/mitochondrial,pots,1.2633714090328403,0.6850466262271014,2.3299250825483155,0.4540730626266568,0.23378386904817938,407
supplement/mitochondrial,const,,,,,1.4611503737145726,407
peptide/experimental,pem,0.2661044440751952,0.07997709107087062,0.8853982335243973,0.030895916920850478,-1.3238664003668292,65
peptide/experimental,me_cfs,0.3962066432907518,0.10690415394153338,1.4684153833122169,0.1660015494669137,-0.9258193773399565,65
peptide/experimental,mcas,1.968166822915339,0.5553856107316278,6.974758740547368,0.2942119879028925,0.6771025627790138,65
peptide/experimental,const,,,,,1.0029406488294472,65
metabolic,pots,0.377731782114663,0.12043094111234011,1.1847561590208255,0.09506246001368725,-0.9735709063525213,102
metabolic,pem,0.5603003058262758,0.21116020034017308,1.4867216085383301,0.24464150684541675,-0.5792823785851043,102
metabolic,mcas,1.0795681739351195,0.38845237591817894,3.00028398441073,0.8832852240300244,0.07656112223025846,102
metabolic,dysautonomia,2.5731381235115487,0.76122415934076,8.697884481757027,0.12827922997292657,0.9451262137521199,102
metabolic,const,,,,,0.7757588734655302,102
procedure/device,func_severe,0.5420006645288262,0.19903307775461287,1.4759592911077357,0.23079941555352745,-0.6124880514752974,277
procedure/device,func_housebound,0.5461080913047939,0.22797343026685907,1.3081965167583829,0.17470895391294172,-0.6049383534078928,277
procedure/device,me_cfs,0.5827277517927639,0.2929786063898064,1.1590321794952185,0.12373275826783037,-0.5400351797568625,277
procedure/device,eds_any,0.6638100429477625,0.23663677571989097,1.8621102817928183,0.436209038202815,-0.4097592503323115,277
procedure/device,pots,0.6888294234368355,0.36097519764697283,1.3144558897267007,0.2582083517397392,-0.37276160982852646,277
procedure/device,mcas,0.8163423701391647,0.43004771749246623,1.549630048428529,0.5349113054877475,-0.2029214407644576,277
procedure/device,pem,0.9338045750136891,0.5265145864566491,1.6561573159536627,0.8147750077030718,-0.06848809710659633,277
procedure/device,func_bedbound,0.9920333876033965,0.4780437430734095,2.058661485228864,0.9828679683831822,-0.00799851540538101,277
procedure/device,nfields_z,1.061532117718625,0.8021610311464881,1.4047683609581965,0.6761316181961907,0.05971325862160074,277
procedure/device,dysautonomia,1.5635558150712663,0.7711246918011185,3.1703131968619265,0.2152295262030235,0.4469625960769515,277
procedure/device,const,,,,,0.33656025843081033,277
